,ADYEY,AFRM,ALKT,AVLR,BILL,BTRS,BL,BHG,CLOV,COIN,COMP,DLO,DOMA,DCT,ENV,EVER,FLT,FLYW,FCH.L,GDOT,HIPO,INTA,KPLT,LMND,LSPD,LDI,LU,MQ,MELI,MILE,ML,NCNO,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,ROOT,SEZNL,SHOP,SOFI,SQ,STNE,UPST,VIRT,XROLF,HOOD,BLND,WPLCF,TOST,RELY,BKKT,NRDS,NU,AVDX,DAVE,EXFY
2022-03-01,55264589930.0,12049597460.0,1413764780.0,9471787513.639454,23846059290.0,914660630.0,4459976770.0,1961111560.0,1282532160.0,43055317250.0,3049444610.0,9603175760.0,831003860.0,3093705770.0,4054465380.0,423196090.0,17610938000.0,2691360650.0,324453999.51373696,1509477540.0,999010240.3692778,1427367540.0,214944256.26585743,1497135920.0,3545674527.6109567,1291547474.6163888,15217020920.0,6243987410.0,56697151390.0,0.0,623936053.4026269,5237210860.0,2244206800.0,5103683840.0,1529400670.0,5197609730.0,2585297220.0,1436507606.688946,124084673300.0,3628048910.0,2281144220.0,441959970.0,267292860.97691894,84820933730.0,9280225810.0,73122118040.0,3358084320.0,12221761450.0,6412863771.667596,10022957937.466452,10216238950.0,2092147890.0000002,6243693192.317043,9970847740.0,1777273180.0,,,,,,
2022-03-02,54713553800.0,11890301560.0,1417373620.0,9289568666.197643,24281111840.0,1061659660.0,4413771670.0,1571512820.0,1263601790.0,42688786290.0,3115378540.0,9464512390.0,834237340.0,3051434810.0,4045694230.0,434301230.0,18343850850.0,2795396880.0,324453999.51373696,1482552030.0,982897187.4667686,1423068240.0,218980764.05422363,1375613140.0,3551109337.922953,1319092439.1623938,14305969510.0,6254790150.0,57523014280.0,0.0,653392298.6498682,5717809720.0,2245797310.0,5326931250.0,1476880040.0,5123932270.0,2648029580.0,1423906674.6296978,124201173800.0,3603569680.0,2238585560.0,414019980.0,245361137.94954374,83106730670.0,9595090610.0,72078013540.0,3401334710.0,13191348920.0,6459268696.322405,10096085171.765968,9973201830.0,2115138520.0,6374273911.986384,10434016260.0,1788760630.0,,,,,,
2022-03-03,52125541410.0,11122267720.0,1373165280.0,8781700000.0,22641378040.0,1042059790.0,4261531790.0,1377421590.0,1116891470.0,39073956930.0,3074169830.0,8712189860.0,843937770.0,2924621930.0,4033633890.0,397384130.0,18173279210.0,2785816310.0,314936676.391928,1419359480.0,945300000.0,1402185930.0,201825581.89418313,1256557840.0,3385890911.088326,1248700000.0,13641148210.0,5757863820.0,55297520510.0,0.0,610546880.0377965,5502747220.0,2097880070.0000002,4843228530.0,1430661890.0,4775638840.0,2542543700.0,1335700000.0,118061597900.0,3494836380.0,2177939470.0,391159980.0,222058682.2329576,80703571640.0,9732685930.0,66254230700.0,3237601070.0,12613463020.0,6396800000.0,10045130166.398283,9877722960.0,2046166610.0,6074421881.838075,9996296560.0,1754298270.0,,,,,,
2022-03-04,49141278320.0,10189248850.0,1307303870.0,7694797269.272875,21261639940.0,1007760010.0,4143057180.0,1302289510.0,1041170020.0,36378747180.0,2876368020.0,8254895780.000001,787082400.0,2915375160.0,4022121760.0,387779680.0,17628073050.0,2696397680.0,303256333.57646483,1362760940.0,959950255.1850947,1319270860.0,193752554.2877086,1205357880.0,3106541321.22455,1228679852.7214293,12360751620.0,5131304530.0,53231350700.0,0.0,575735029.2892375,5382048870.0,1965867900.0,4192090250.0,1495787460.0,4490975930.0,2509869410.0,1300290756.5779355,116395640900.0,3427091550.0,2082182480.0,378459980.0,206980622.65163714,75676838050.0,9104477020.0,61754887550.0,3005902520.0,10781879920.0,6372116056.35335,9796349838.969404,9513167280.0,1965699390.0,5390082154.145392,9105587850.0,1683732490.0,,,,,,
2022-03-07,46033186880.0,9546376080.0,1287455230.0,7182297356.67572,19231394670.0,962026980.0,4046500370.0,1120720300.0,1230473660.0,35366946130.0,2732137530.0,7903811930.0,816233600.0,2933868710.0,3934958430.0,362868140.0,17067289560.000002,2652752860.0,289845562.84950155,1287479390.0,954236270.8417838,1404028490.0,187697792.60515934,1210292820.0,2909800952.1019483,1149606396.8532186,12951703890.0,5007072950.0,48294828370.0,0.0,575735029.2892375,5086886560.0,1913381140.0,4049459960.0,1537803970.0,4132635570.0000005,2489296710.0,1448801057.0732307,109056109900.0,3343976040.0,1969402030.0,391159980.0,202868424.58400428,70633730750.0,8758506890.0,56531347030.0,2842168880.0,9456314740.0,6067213025.390361,9560166116.478798,9912442550.0,1954204070.0,5350182482.372964,8759483900.0,1539318780.0,,,,,,
2022-03-08,44293398650.0,9751185100.0,1256780050.0,7213923094.454071,19079126280.0,1001226720.0,4058940210.0,1139503320.0,1415044700.0,35553503810.0,2732137530.0,7682540600.0,835667730.0,2984065470.0,3977717800.0,388680100.0,17774499850.0,2734719950.0,283789095.5506929,1330889920.0,994234229.3610264,1375161760.0,189716046.49934244,1272596370.0,3019584253.6985497,1158730220.1781132,13050195940.0,5255536110.0,46122274520.0,0.0,581090698.6351696,5225141030.0,1977001460.0,4210694200.0,1678559250.0,4223057900.0,2517130370.0,1399297571.119051,110558966200.0,3303556850.0,2060903150.0,386079990.0,202883608.42726785,64858843880.0,8849551660.0,58334367120.0,2950294870.0,9414286670.0,6001876461.9976425,9521193974.771873,10198879150.0,1770278980.0,5373155020.666181,8942715400.0,1470394060.0,,,,,,
2022-03-09,49704697280.0,10468016680.0,1328054720.0,7674524328.713364,20770652050.0,1055402419.9999999,4235467380.0,1377421590.0,1486033570.0,39280267770.0,3004115030.0,8107381560.0,838906760.0,3101631570.0,4057206370.0,408489270.0,17933388500.0,2894396080.0,314504072.4531972,1406171470.0,1108514052.4593773,1474045660.0,202834708.84127465,1335516800.0,3256542266.0026364,1189143161.7549152,13813509280.0,5784870690.0,49650594750.0,0.0,658747967.9958004,5300851800.0,2110604130.0000002,4638585070.0,1794104630.0,4501022860.0,2615153230.0,1432300000.0,116756792400.0,3394073060.0,2128997010.0,421639990.0,200827355.07246375,74015534720.0,8986118820.0,64885533370.0,3219065190.0,9846335190.0,6079916619.694878,9693071115.136875,10780432260.0,1786372430.0,6041776695.842451,9899591040.0,1565575820.0,,,,,,
2022-03-10,47457212840.0,10396902440.0,1308206080.0,7078500000.0,21222278040.0,1050516290.0,4188077529.9999995,1414987640.0,1476568390.0,37963390040.0,2835159310.0,7664838900.0,845384800.0,2989349340.0,4026507330.0,396783850.0,17980120460.0,2876299450.0,317964916.1196207,1447933500.0,1102800000.0,1489400300.0,201825581.89418313,1254090370.0,3146758964.406035,1134400000.0,14478330590.0,5520203400.0,46954691880.0,0.0,615902549.3837286,5527984140.0,2061298380.0000002,4595175850.0,1800407100.0,4336923070.0,2492927190.0,1432300000.0,114811234200.0,3282493330.0,2101333880.0000002,416559980.0,218648215.24422973,69673978560.0,8567312879.999999,63117298240.0,2937937610.0,9473125960.0,6114400000.0,9848959681.964573,10459276070.0,1696708940.0,5860414575.735473,9981027260.0,1529472390.0,,,,,,
2022-03-11,48788367540.0,8778342250.0,1245953520.0,7078500000.0,19423024960.0,998397660.0,3987855440.0,1283506480.0,1462370610.0,35132102930.0,2682687080.0,7204594530.0,796799470.0,2796488090.0,3994163710.0,390781070.0,17878089020.0,2693204150.0,302823729.637734,1378146950.0,1102800000.0,1412627090.0,191734300.39352554,1161560340.0,2920670587.3736634,1134400000.0,11523569240.0,5433467630.0,44958100280.0,0.0,548956618.7149621,4761001030.0,1956324850.0,4254103420.0000005,1684861720.0,4223057900.0,2384012900.0,1432300000.0,112504524500.0,3187992140.0,1949186670.0,388619980.0,203569028.44873857,68564343800.0,7784327850.0,59093838610.0,2758757400.0,8412337589.999999,6229056988.563195,9271372557.70263,9565246660.0,1551867940.0,5853160089.958668,8973253990.0,1498292160.0,,,,,,
2022-03-14,50354796090.0,7458461890.0,1144003660.0,7057497072.79213,17857871600.0,962566090.0,3896037620.0,1220896410.0,1258869200.0,33622083140.000004,2414830460.0,6874162680.0,738497070.0,2483418810.0,3942633180.0,388680100.0,17638977170.0,2396206540.0,315801884.26938975,1385290460.0,1044706878.0679674,1362263860.0,177606511.10450175,1067179699.9999999,2766321788.4868903,1023639484.5796187,11104978050.0,4624689730.0,44493237280.0,0.0,508789066.69816375,4248581699.9999995,1841808280.0,4012252060.0,1472678390.0,3985280660.0,2148031920.0,1412947335.9331603,112854025900.0,2934091330.0,1767248390.0,356869980.0,199456521.73913044,64556559720.0,7219850280.0,54989214090.0,2582666500.0,7509574740.0,6256897887.798801,9353313982.823402,9244090470.0,1466802580.0,6086512691.466083,8275956310.0,1403110400.0,,,,,,
